gender,age,marital_status,education,applicant_income,coapplicant_income,dependents,employment_type,area_type,loan_amount,loan_term_months,loan_purpose,electricity_bill_avg,electricity_payment_regularity,mobile_recharge_avg,mobile_recharge_frequency,utility_payment_consistency,govt_socioeconomic_category,credit_category,prior_repayment_record,loan_repaid
Male,49,Married,Secondary,11819.540353352142,0.0,0,Daily wage,Urban,274610.70739752025,48,Home repair,386.3379154039483,0.5,269.7064321125034,2.2678875910408274,1.0,APL,Moderate,,0
Female,43,Married,Secondary,39328.260272947184,23277.86200804468,1,Salaried,Rural,457511.6862396657,48,Home repair,,1.0,,,1.0,APL,None,0.95,0
Male,41,Single,No formal education,25292.634720488626,16074.168502107897,2,Salaried,Urban,431555.84563982405,48,Home repair,1355.434496367785,1.0,429.9590070757321,3.114613030130145,0.5,APL,None,0.35,0
Male,33,Single,Graduate,47603.77588414098,20242.741625387207,4,Self-employed,Urban,1040166.2086287452,48,Agriculture,2301.7862662232233,1.0,900.6069422737161,2.86387734714883,,APL,None,0.95,0
Male,21,Widowed,Secondary,6220.079554107642,0.0,1,Farmer,Rural,98280.20023349063,12,Education,590.8416932206294,1.0,143.81010396555237,5.777477120529301,1.0,BPL,Weak,0.95,0
Female,38,Single,Secondary,17861.1046793611,0.0,1,Daily wage,Urban,375811.89062639687,84,Business,,0.8,454.65564147329627,2.7506709019744555,1.0,APL,None,,0
Male,31,Married,Secondary,8427.898308103711,0.0,4,Salaried,Semi-urban,87369.46472997806,84,Agriculture,729.5520778041355,0.5,204.96040928356626,1.2529039438340512,0.5,APL,Weak,0.62,0
Male,34,Married,Graduate,18341.567855663867,0.0,3,Daily wage,Urban,365499.6539085593,24,Medical,868.6485476184073,0.5,,3.798131524398284,1.0,,Moderate,,0
Female,43,Married,Primary,20345.578068491053,8630.427471856548,4,Daily wage,Semi-urban,134284.04338757013,24,Medical,1145.5162359067667,,426.7430615997888,2.2228985739389673,,,None,,1
Male,22,Married,Graduate,7056.149401893617,0.0,3,Farmer,Rural,166265.95931033083,24,Home repair,606.3918967610583,0.5,,3.3590731991844445,0.8,APL,None,,0
Male,31,Married,Graduate,14946.197409311835,0.0,3,Self-employed,Semi-urban,235256.35771523003,120,Marriage,739.8350985058692,,236.63807936391748,1.2506630125320692,1.0,,Good,,0
Male,38,Single,Primary,51384.889906029355,0.0,4,Salaried,Urban,899380.4171816175,36,Marriage,2658.2516681247057,1.0,977.0030005059602,2.8169136679702342,1.0,,None,,0
Male,39,Single,Graduate,90486.35788824306,0.0,0,Self-employed,Urban,2000000.0,12,Marriage,4716.013199933103,,1705.4363648186968,3.37467460777411,1.0,,Good,,0
Male,35,Single,Graduate,11125.632375635476,5749.016066033185,3,Self-employed,Semi-urban,153122.22699265656,36,Medical,,,,3.7878652067861784,1.0,APL,None,0.62,0
Male,33,Married,Primary,4158.594570071769,0.0,1,Farmer,Rural,47639.92575555358,120,Business,509.72107317783804,0.5,162.6301123638317,4.53452256597285,1.0,BPL,Weak,0.95,0
Female,41,Married,No formal education,16389.27874401717,0.0,3,Self-employed,Semi-urban,420351.28184063616,60,Education,928.1398509898099,0.8,358.4868572432674,2.3845687827658204,0.2,APL,Moderate,0.82,0
Female,44,Married,Graduate,8779.96244568795,0.0,1,Self-employed,Rural,208086.14959188068,12,Medical,,,298.072238861664,,,APL,Good,0.62,0
Female,23,Married,Primary,8487.41953524643,0.0,3,Self-employed,Urban,165258.58142549754,36,Business,,1.0,96.20813662126524,3.9868933284966506,0.2,,Moderate,0.62,0
Female,39,Single,Secondary,3000.0,1798.9531742091565,2,Farmer,Rural,65082.04437023647,60,Medical,207.65794719873466,0.5,137.7080210357387,7.190774874943212,0.5,BPL,None,0.95,0
Female,48,Married,No formal education,35975.85141043487,22647.615296953612,3,Self-employed,Urban,843117.5392487865,120,Agriculture,1647.1361567442257,1.0,732.1752901105965,3.9201478574944635,,,None,0.95,0
Male,47,Single,Primary,23308.072770682687,0.0,5,Self-employed,Urban,306649.11543899827,60,Medical,530.6473382009955,,398.4474526918797,7.876866385732105,1.0,BPL,None,0.82,0
Male,25,Married,Graduate,15508.601922895637,0.0,2,Self-employed,Semi-urban,151490.34506193615,12,Education,982.5995571183056,0.5,289.4659800606355,2.6140681160917087,0.5,APL,None,0.62,0
Male,47,Married,Secondary,12165.309776030135,4717.0479379059725,4,Self-employed,Semi-urban,228909.2411058372,12,Marriage,677.2544891107638,1.0,178.72991543219263,,1.0,APL,Good,,0
Female,41,Married,No formal education,7080.151035025838,0.0,2,Daily wage,Semi-urban,81996.52949806175,60,Marriage,450.7828819888998,,209.30397781909292,1.4561457022734754,1.0,,None,,0
Female,46,Married,Secondary,8258.856799270783,4120.614973062299,2,Salaried,Rural,83507.0297720141,120,Agriculture,,0.8,175.94696125823006,,1.0,BPL,Good,0.95,0
Male,19,Single,Primary,14177.905171441766,0.0,3,Self-employed,Rural,400222.6681365433,84,Medical,293.77024000460585,1.0,290.4503286728745,3.1505193610565945,0.2,BPL,None,0.62,0
Female,26,Divorced,No formal education,3469.564741819402,1581.9123695579956,1,Farmer,Rural,55755.74376648414,12,Education,571.4522248461576,1.0,50.0,3.4618026405568925,1.0,BPL,Strong,0.95,0
Female,48,Married,Graduate,53067.379692116076,26830.800543122186,5,Salaried,Urban,625708.4276521896,12,Education,532.3796684220274,1.0,967.1082758915078,,1.0,BPL,None,,0
Female,53,Married,Graduate,3977.186430403475,1987.6362734962654,1,Self-employed,Rural,102069.62505976004,60,Marriage,236.86718338897293,0.5,50.0,4.1313762540829995,0.5,BPL,Moderate,0.82,0
Male,54,Single,Graduate,38270.439130156476,0.0,3,Salaried,Urban,323275.44084664306,24,Medical,1862.8558902768348,0.5,772.7408468180026,3.3817881575798943,1.0,,Weak,,1
Male,55,Married,Primary,62001.827675465174,0.0,3,Salaried,Urban,697167.4027307612,36,Education,3444.7844517866793,1.0,1264.9908317826007,2.253000987450984,1.0,,Moderate,0.62,1
Female,21,Single,Primary,10249.45785931823,0.0,1,Farmer,Semi-urban,91428.41967034835,48,Medical,,1.0,129.12384640243997,4.588473487735811,0.2,BPL,None,,0
Male,35,Married,Primary,9784.311802757955,0.0,2,Daily wage,Semi-urban,236811.69905786563,84,Education,959.2567501390421,1.0,62.46962000143674,2.719126601857047,1.0,,None,,1
Female,54,Married,Post-graduate,23575.73196529197,8491.832234328605,3,Farmer,Urban,298949.95740223094,120,Medical,1216.1474767601292,1.0,,3.3916332177362882,0.8,,Good,0.95,0
Female,25,Married,Primary,10482.87197908895,0.0,0,Daily wage,Urban,277260.1944421989,36,Education,385.8686994716603,1.0,,3.093148922659879,1.0,,None,0.95,0
Male,24,Single,Primary,39480.519220759285,0.0,0,Salaried,Urban,815723.8062621589,60,Medical,2216.620506883202,0.8,727.0225000970986,3.2772607976669152,0.8,APL,Weak,0.82,0
Male,26,Single,Graduate,14616.922844673878,0.0,3,Self-employed,Semi-urban,117706.97939115645,36,Business,,,310.4404641864301,,1.0,APL,Moderate,,0
Male,52,Married,Secondary,4570.42375675472,0.0,4,Farmer,Rural,71941.082373752,12,Business,506.1453455432163,1.0,57.558718212167825,7.327811915861018,1.0,BPL,Strong,,0
Female,18,Married,Graduate,82838.38755431493,55794.895779214734,1,Farmer,Urban,685433.2798113405,84,Agriculture,,0.8,1551.024436335449,1.9959145142075365,1.0,,None,,1
Male,40,Single,Graduate,18257.728332558414,0.0,1,Self-employed,Semi-urban,246916.86591098295,24,Home repair,,0.8,400.2483557165643,,0.5,BPL,None,0.95,0
Male,45,Married,No formal education,22814.885092491284,0.0,4,Daily wage,Urban,284491.84723014117,36,Agriculture,259.2869848397298,1.0,361.0750898369799,7.0763816554528,0.5,BPL,Weak,0.62,0
Male,28,Single,Graduate,15257.29272076953,0.0,4,Self-employed,Semi-urban,357976.47271494876,60,Business,521.6382678534371,1.0,328.7030419034951,7.973420825982436,1.0,BPL,Good,0.82,0
Male,26,Married,Graduate,3000.0,0.0,0,Daily wage,Rural,18606.923280902658,24,Business,,1.0,,2.7957853222140123,0.8,,Strong,,0
Female,29,Widowed,Secondary,10988.687290518496,4961.488501044565,5,Daily wage,Rural,206167.4919735978,60,Education,224.81470545151262,,236.68637018682884,5.529658271597793,1.0,BPL,None,0.35,0
Female,61,Single,Graduate,4247.283954411254,0.0,3,Farmer,Rural,57134.93195050447,12,Home repair,283.532374197836,,50.0,5.761830689086171,1.0,BPL,None,0.95,0
Male,37,Married,Secondary,18324.027754359708,13087.374925843382,0,Daily wage,Urban,310060.35952028626,48,Home repair,774.8554350141376,0.2,411.4129780214392,1.3730375242926112,0.5,,Moderate,0.95,1
Male,29,Married,Secondary,19510.366079741932,9591.445862429155,2,Salaried,Semi-urban,497752.15882604336,48,Business,1203.811167581547,1.0,362.24082468797644,3.4777969256500487,0.8,APL,None,0.95,0
Male,39,Married,Secondary,21411.253310602835,0.0,1,Farmer,Urban,215340.44126872692,120,Business,393.31771398653007,1.0,303.3003868184842,7.195733040353763,,BPL,None,0.95,0
Male,63,Single,Graduate,12806.304682236547,0.0,1,Self-employed,Rural,230052.99795089473,12,Home repair,230.7032247554952,1.0,,6.352171668984587,0.8,BPL,None,0.95,1
Female,26,Single,No formal education,9793.090960707777,0.0,2,Farmer,Urban,117664.18699572604,12,Business,728.4735980246192,0.2,140.0519386461711,3.190730003073604,1.0,,Moderate,0.82,1
Male,31,Married,Secondary,82674.10760609774,65894.63912453732,0,Salaried,Semi-urban,1922531.5042835602,84,Marriage,4084.816514320014,1.0,1603.4142271604271,1.9084896669362266,0.8,APL,Good,0.95,0
Male,31,Married,No formal education,13863.176059114861,0.0,2,Self-employed,Rural,221997.6786519212,48,Marriage,,,258.7958656799691,,,,None,0.95,0
Female,27,Married,Secondary,25985.032353988798,11902.154126717169,4,Self-employed,Urban,342626.2669215109,12,Education,374.39807222823435,1.0,,5.9482674757577385,1.0,BPL,Moderate,0.95,0
Male,33,Married,Primary,28319.928302563003,19933.233866057897,2,Self-employed,Semi-urban,662628.2335418452,60,Agriculture,1360.6692412958607,1.0,588.9431348118859,1.4143758794207417,0.5,,None,0.82,0
Female,35,Married,Graduate,6695.014068355196,0.0,3,Daily wage,Rural,117908.56100031854,24,Business,292.88987636053724,1.0,172.10554618350866,4.345807854958146,1.0,BPL,None,0.62,0
Male,37,Single,Primary,6054.4171935803,0.0,4,Daily wage,Semi-urban,173311.33459149487,60,Medical,746.8576189956377,0.8,121.52975078497573,1.3598588251929096,1.0,APL,None,0.62,0
